id,address_sido,address_sigungu,address_dong,address_full,hammer_price,reference_date,property_type,land_area_sqm,building_area_sqm,unit_price_py,land_price_sqm,approval_date,days_since_transaction,building_age,price_per_sqm,is_new,property_type_code
2,서울특별시,강남구,역삼동,서울특별시 강남구  역삼동 681-21,5300000000.0,2026-01-09,근린시설,172.0,383.09,101864309.05246973,11940000.0,1989-03-31,151,37,30813953.48837209,0,0
7,충청남도,천안시,동남구,"충청남도 천안시 동남구 구룡동 563-3(토지, 외 1필지 건물)",2500000000.0,2022-11-24,근린시설,3432.0,5617.43,2408060.259299929,658500.0,2024-05-17,1293,2,728438.2284382285,1,0
8,충청남도,천안동남구,구룡동,충청남도 천안동남구  구룡동 578-7,740000000.0,2026-02-19,대지,661.0,585.0,3700878.958752704,372000.0,1979-12-31,110,47,1119515.8850226928,0,0
9,충청남도,천안동남구,구룡동,충청남도 천안동남구  구룡동 749,132000000.0,2024-07-18,대지,336.0,585.0,1298701.2987012987,833500.0,1979-12-31,691,47,392857.14285714284,0,0
10,충청남도,천안동남구,구룡동,"충청남도 천안동남구  구룡동 513, 671-1",2210000000.0,2023-08-24,상업용,1041.0,188.9,7018045.267979772,718100.0,2012-05-09,1020,14,2122958.693563881,0,0
11,충청남도,천안동남구,구룡동,충청남도 천안동남구  구룡동 573,120000000.0,2023-06-12,단독주택,361.0,69.06,1098875.9414848562,378900.0,1984-08-20,1093,42,332409.972299169,0,0
12,충청남도,천안동남구,구룡동,"충청남도 천안동남구  구룡동 574, 575",1768950000.0,2023-12-22,대지,8018.0,585.0,729330.0816963485,520100.0,1979-12-31,900,47,220622.34971314544,0,0
14,경상남도,거제시,연초면,경상남도 거제시 연초면 한내리 120-25,950000000.0,2022-05-02,공업나지,2246.0,585.0,1398261.739879161,283200.0,1979-12-31,1499,47,422974.17631344614,0,0
15,경상남도,거제시,연초면,"경상남도 거제시 연초면 한내리 120-4, 120-5, 120-39",3300000000.0,2022-02-07,공장,6174.0,3175.77,1766940.5424507465,283200.0,2016-08-25,1583,10,534499.5140913508,0,0
16,경상남도,거제시,연초면,"경상남도 거제시 연초면 한내리 120-10, 161, 161-5",4868000000.0,2021-09-02,공장,13105.0,5539.34,1227971.1547860417,317700.0,1994-03-28,1741,32,371461.2743227776,0,0
18,경상남도,거제시,연초면,경상남도 거제시 연초면 한내리 57-2,60000000.0,2026-01-23,다가구주택,390.0,107.87,508582.326764145,202900.0,2011-12-14,137,15,153846.15384615384,0,0
19,경상남도,거제시,연초면,"경상남도 거제시 연초면 한내리 484, 482-1",73000000.0,2025-11-08,단독주택,304.0,85.68,793823.401478904,281800.0,2014-09-18,213,12,240131.57894736843,0,0
20,경상남도,거제시,연초면,"경상남도 거제시 연초면 한내리 16-25, 16-27",226000000.0,2024-10-12,단독주택,511.0,177.64,1462049.7808542643,338000.0,2002-04-29,605,24,442270.0587084149,0,0
21,경상남도,거제시,연초면,경상남도 거제시 연초면 한내리 393-2,138000000.0,2025-01-18,단독주택,302.0,130.85,1510590.5533358874,198800.0,1997-05-29,507,29,456953.64238410594,0,0
22,경상남도,거제시,연초면,"경상남도 거제시 연초면 한내리 62-7, 62-8",300000000.0,2023-05-02,단독주택,355.0,186.8,2793621.2315213596,293700.0,2020-01-28,1134,6,845070.4225352113,1,0
24,대구광역시,달서구,신당동,대구광역시 달서구  신당동 680-2외 3필지,2100000000.0,2025-10-31,근린시설,6155.0,175.54,1127887.6946109794,594000.0,1997-09-24,221,29,341186.0276198213,0,0
25,대구광역시,서구,상리동,대구광역시 서구 상리동 512-1,372000000.0,2024-02-28,나지,410.0,585.0,2999395.2832090305,372500.0,1979-12-31,832,47,907317.0731707317,0,0
26,대구광역시,서구,상리동,대구광역시 서구 상리동 264,1259730000.0,2024-11-07,나지,1436.0,585.0,2899997.697921223,170700.0,1979-12-31,579,47,877249.3036211699,0,0
27,대구광역시,서구,상리동,대구광역시 서구  상리동 33,1100000000.0,2024-02-06,근린시설,443.0,199.14,8208495.793145906,1035000.0,1989-07-01,854,37,2483069.9774266365,0,0
28,충청남도,아산시,신창면,"충청남도 아산시 신창면 읍내리 52-2(토지, 1동, 2동, 3동 건물 3개동)",3350000000.0,2023-04-09,공장,5413.0,3257.82,2045885.8609438865,189400.0,2018-04-02,1157,8,618880.4729355256,0,0
29,충청남도,아산시,신창면,"충청남도 아산시 신창면 읍내리 174-12, 174-5, 174-4",870000000.0,2025-07-07,일반숙박시설,1403.0,910.39,2049916.648504091,254200.0,1996-05-27,337,30,620099.7861724875,0,0
30,충청남도,아산시,신창면,충청남도 아산시 신창면 읍내리 52-32,100000000.0,2023-09-18,대지,243.0,585.0,1360405.4008094412,197200.0,1979-12-31,995,47,411522.633744856,0,0
31,충청남도,아산시,신창면,충청남도 아산시 신창면 읍내리 52-30 외 29필지,1900000000.0,2023-09-18,근린생활시설,5392.33,198.0,1164801.0666144672,197200.0,2021-01-26,995,5,352352.32265087636,1,0
34,경기도,화성만세구,향남읍,경기도 화성만세구 향남읍 도이리 625-6외 1필지,1000000000.0,2026-02-13,공장,858.0,312.0,3852896.4148798855,394200.0,2023-07-25,116,3,1165501.1655011654,1,0
35,경기도,화성만세구,향남읍,경기도 화성만세구 향남읍 도이리 74-23외 2필지,1040000000.0,2024-02-01,공장,1265.0,396.0,2717799.6276091854,398500.0,2020-01-16,859,6,822134.3873517787,1,0
36,경기도,화성만세구,향남읍,경기도 화성만세구 향남읍 도이리 625-10외 1필지,1020000000.0,2023-09-05,단독주택,1027.0,325.0,3283252.995565999,402400.0,1979-12-31,1008,47,993184.0311587147,0,0
37,경기도,화성만세구,향남읍,경기도 화성만세구 향남읍 도이리 625-11외 1필지,645000000.0,2022-11-26,단독주택,610.0,198.0,3495461.3196043894,402400.0,2006-01-01,1291,20,1057377.049180328,0,0
38,경기도,화성만세구,향남읍,경기도 화성만세구 향남읍 도이리 625-8외 1필지,1150000000.0,2023-04-25,단독주택,1129.0,371.52,3367274.484111589,402400.0,2006-01-01,1141,20,1018600.5314437555,0,0
39,대전광역시,유성구,신동,"대전광역시 유성구 신동 661-5, 661-6(토지 2필지)",2824729000.0,2023-05-02,대지,11821.7,585.0,789898.8392056993,352400.0,1979-12-31,1134,47,238944.39885972405,0,0
40,대전광역시,유성구,신동,대전광역시 유성구  신동 662-4,3314002000.0,2025-06-13,"공장,교육연구시설",4181.8,1158.55,2619775.8172071106,341800.0,2023-11-24,361,3,792482.1847051509,1,0
42,대전광역시,유성구,신동,대전광역시 유성구  신동 661-4,2753574000.0,2024-03-18,공업나지,5746.2,585.0,1584129.3318962357,352400.0,1979-12-31,813,47,479199.1228986113,0,0
43,대전광역시,유성구,신동,대전광역시 유성구  신동 661-7,2714247000.0,2023-03-27,공업나지,5536.7,585.0,1620589.4044054947,341800.0,1979-12-31,1170,47,490228.2948326621,0,0
44,대전광역시,유성구,신동,대전광역시 유성구  신동 661-8,3126758000.0,2023-03-29,단독주택,6286.1,585.0,1644324.793217516,352400.0,1979-12-31,1168,47,497408.2499482986,0,0
45,충청남도,아산시,음봉면,"충청남도 아산시 음봉면 산동리 950-129(토지, 건물), 685-75, 691-13, 691-15, 691-18, 691-23, 691-27, 711-8, 950-121, 950-133, 950-145, 950-151(토지 11필지)",1297000000.0,2023-02-21,공장,4211.49,1928.95,1018072.7737178822,218000.0,2023-09-21,1204,3,307967.0140496594,1,0
47,충청남도,아산시,음봉면,충청남도 아산시 음봉면 산동리 690-67외,2700000000.0,2026-02-06,공장,3541.0,989.86,2520649.487351241,244200.0,2023-02-27,123,3,762496.4699237504,1,0
48,충청남도,아산시,음봉면,충청남도 아산시 음봉면 산동리 950-130외 3필지,2300000000.0,2025-12-04,공장,3102.22,1370.4,2450924.1076145363,231900.0,2021-04-07,187,5,741404.5425533972,1,0
49,충청남도,아산시,음봉면,충청남도 아산시 음봉면 산동리 230-12외,2507710000.0,2026-03-05,공장,2741.34,996.82,3024050.432716533,284300.0,2013-07-18,96,13,914775.2558967512,0,0
50,충청남도,아산시,음봉면,충청남도 아산시 음봉면 산동리 243-32 외 14필지,2029370000.0,2025-07-05,공장,2150.4299999999994,1374.82,3119683.578179618,284300.0,2012-03-30,339,14,943704.2823993344,0,0
53,경상북도,경주시,천북면,경상북도 경주시 천북면 오야리 1388-1,3000000000.0,2023-12-19,공장,5653.9,4247.94,1754073.3603178032,203100.0,2014-12-31,903,12,530607.1914961354,0,0
