is_premium,is_mid,is_budget,location_score,is_spring,is_active_market,location_size_interaction,price_per_sqm,location_code,unit_price_py,is_modern,land_area_sqm,building_age,is_gangnam,market_activity,location_score_sq,price_per_sqm_sqrt,cluster_id,cluster_avg_price,cluster_price_std,price_quartile,location_quartile,gangnam_modern,location_premium
1,0,0,95.0,0,0,3.6393549999999992,30813953.48837209,1.0,101864309.05246972,0,172.0,37,1,1,9025.0,5551.031839971024,2,5300000000.0,,3,3,0,0.95
1,0,0,70.0,0,0,39.32201,728438.2284382285,0.0,2408060.259299929,0,3432.0,2,0,1,4900.0,853.4865133311882,0,1379386778.982379,1152692162.284876,3,3,0,0.7
0,1,0,70.0,0,1,4.095,1119515.8850226928,0.0,3700878.958752704,0,661.0,47,0,5,4900.0,1058.072249434174,0,1379386778.982379,1152692162.284876,1,1,0,0.0
0,0,1,70.0,0,1,4.095,392857.1428571429,0.0,1298701.298701299,0,336.0,47,0,5,4900.0,626.7839682515363,0,1379386778.982379,1152692162.284876,0,0,0,0.0
1,0,0,70.0,0,1,1.3222999999999998,2122958.693563881,0.0,7018045.267979772,0,1041.0,14,0,5,4900.0,1457.0379863146604,0,1379386778.982379,1152692162.284876,3,3,0,0.7
0,0,1,70.0,0,1,0.4834199999999999,332409.972299169,0.0,1098875.9414848562,0,361.0,42,0,5,4900.0,576.5509277584844,0,1379386778.982379,1152692162.284876,0,0,0,0.0
0,1,0,70.0,0,1,4.095,220622.34971314544,0.0,729330.0816963485,0,8018.0,47,0,5,4900.0,469.7055989799839,0,1379386778.982379,1152692162.284876,2,2,0,0.0
0,1,0,70.0,1,1,4.095,422974.1763134461,0.0,1398261.739879161,0,2246.0,47,0,8,4900.0,650.3654175257523,0,1379386778.982379,1152692162.284876,1,2,0,0.0
1,0,0,70.0,0,1,22.23039,534499.5140913508,0.0,1766940.5424507463,1,6174.0,10,0,8,4900.0,731.0954206472304,0,1379386778.982379,1152692162.284876,3,3,0,0.7
1,0,0,70.0,0,1,38.77538,371461.2743227776,0.0,1227971.1547860417,0,13105.0,32,0,8,4900.0,609.4770498737238,0,1379386778.982379,1152692162.284876,3,3,0,0.7
0,0,1,70.0,0,1,0.75509,153846.15384615384,0.0,508582.326764145,0,390.0,15,0,8,4900.0,392.233545029175,0,1379386778.982379,1152692162.284876,0,0,0,0.0
0,0,1,70.0,0,1,0.59976,240131.57894736843,0.0,793823.401478904,0,304.0,12,0,8,4900.0,490.0332426962159,0,1379386778.982379,1152692162.284876,0,0,0,0.0
